name,brand,pricenew,sale,priceold
Nước hoa nam Paco Rabanne One Million Cologne EDT 100ml,Jomashop.com,"2,250,000",0%,"2,250,000"
Boss Bottled Night by Hugo Boss 3.3 oz EDT,Amazon,"1,950,000",0%,"1,950,000"
John Varvatos Man 125ml,sephora,"1,750,000",0%,"1,750,000"
Nước hoa nam Light Blue Pour Homme by Dolce & Gabbana EDT 125ml,sephora,"2,300,000",0%,"2,300,000"
Nước hoa Nautica Voyage EDT for Men 100ml,Walmart,"850,000",0%,"850,000"
NƯỚC HOA NAM POUR HOMME BY DOLCE & GABBANA EDT 125ML,sephora,"1,800,000",0%,"1,800,000"
Nước hoa nam Montblanc Explorer EDP 60ml,sephora,"1,500,000",0%,"1,500,000"
Nước hoa unisex Ck One Gold by Calvin Klein EDT 100ml,Walmart,"990,000",0%,"990,000"
Nước hoa Burberry Brit  For Him EDT 100ML,Walmart,"1,099,000",0%,"1,099,000"
Nước hoa Versace Pour Homme EDT 100ml,Amazon,"1,750,000",0%,"1,750,000"
NƯỚC HOA LELABO Thé Noir 29 EDP UNISEX 50ml,Amazon,"4,800,000",0%,"4,800,000"
Nước hoa Le labo Bergamote 22 Eau De Parfum  50ml,Amazon,"4,800,000",0%,"4,800,000"
NƯỚC HOA LELABO ROSE 31 UNISEX 50ML,Amazon,"4,800,000",0%,"4,800,000"
Nước Hoa Lelabo Another 13 unisex 50ml,NORDSTROM,"4,800,000",0%,"4,800,000"
Nước hoa Nam Dior Sauvage EDP 60ml,sephora,"2,900,000",0%,"2,900,000"
Nước Hoa Sauvage Cologne By CHRISTIAN DIOR EDT 60ML,sephora,"2,300,000",0%,"2,300,000"
Nước hoa nam Eau De Lacoste L.12.12 Blanc 100ml,Walmart,"1,500,000",0%,"1,500,000"
Nước hoa Ck One by Calvin Klein 100ml,sephora,"799,000",0%,"799,000"
Nước hoa Black Phantom Memento Mori by Kilian EDP 50ml,sephora,"5,900,000",0%,"5,900,000"
Nước hoa nam Creed Aventus Cologne 100ml,Jomashop.com,"8,200,000",0%,"8,200,000"
Nước Hoa Nam Terre D'hermes by Hermes 3.4 oz EDT,sephora,"2,200,000",0%,"2,200,000"
Nước Hoa Nam Giorgio Armani Code Pour Homme EDT 75ml,Amazon,"2,200,000",0%,"2,200,000"
Nước hoa nam Gucci Guilty Cologne Pour Homme EDT 90ml,sephora,"1,950,000",0%,"1,950,000"
Nước hoa Acqua Di Gio Pour Homme 100ml,Amazon,"1,990,000",0%,"1,990,000"
NƯỚC HOA UNISEX TOM FORD EAU DE SOLEIL BLANC EDT 100ML,sephora,"5,100,000",0%,"5,100,000"
