sothutu,name,brand,pricenew,sale,priceold
0,Nước Hoa Nữ Diamond Femme 45ml (Trắng),Eau De Parfum,301000,45%,549000
1,Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Mạnh Mẽ 5ml,Inner Perfume #Eau De Bijou,144000,59%,350000
2,Nước Hoa Nữ Diamond Femme Pink 45ml (Hồng),Eau De Parfum,275000,50%,549000
3,Nước Hoa Nam Diamond Homme 45ml (Đen),Eau De Parfum,275000,50%,549000
4,Nước Hoa Nữ Diamond Femme Ruby Red 45ml (Đỏ),Eau De Parfum,301000,45%,549000
5,Nước Hoa Nữ Gennie Little Gold Dress 50ml,Little Gold Dress,146000,33%,219000
6,Nước Hoa Vùng Kín Foellie Hương Trái Cây Ngọt Ngào 5ml,Inner Perfume #Eau De Fleur,179000,49%,350000
7,Nước Hoa Nữ Gennie Little Black Dress 50ml,Little Black Dress,146000,33%,219000
8,Xịt Thơm Toàn Thân Malissa Kiss Hương Crazy in Love 88ml,Perfume Body Mist,134000,21%,169000
9,Combo Gennie Nước Hoa + Sữa Tắm Little Red Dress 50ml + 450ml,,219000,42%,378000
10,Nước Hoa Nữ De Memoria EDP #05 Montpellier 30ml,Eau De Parfum,354000,36%,550000
11,Nước Hoa Nữ De Memoria #02 Val De Loire Hương Tươi Mát 30ml,Eau De Parfum,354000,36%,550000
12,Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare 35ml,,54000,32%,79000
13,Nước Hoa Nữ Gennie Little Red Dress 50ml,Little Red Dress,110000,50%,219000
14,Nước Hoa Nam Gota Iconic Eau de Parfum 50ml,Iconic Perfume For Men Eau de Parfum,148000,50%,296000
15,Combo Gennie Nước Hoa + Sữa Tắm Little Gold Dress 50ml + 450ml,,219000,42%,378000
16,Nước Hoa Nữ De Memoria EDP #04 Dresden 30ml,Eau De Parfum,354000,36%,550000
17,Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Trắng 5ml,Inner Perfume #Eau De Ciel,179000,49%,350000
18,Nước Hoa Nam Diamond Homme Dark Blue 45ml (Xanh),Eau De Parfum,301000,45%,549000
19,Nước Hoa Nữ Gennie Little Rose Dress Bản Giới Hạn 50ml,Little Rose Dress For Her,175000,50%,349000
