sothutu,Tên_Sản_Phẩm,Thương_Hiệu,Giá_Bán,Giá_Gốc,Dung_Tich,Phần_Trăm_Giảm
0,Nước Hoa Nữ Diamond Femme (Trắng),Eau De Parfum,301000,549000,45ml,45
1,Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Mạnh Mẽ,Inner Perfume #Eau De Bijou,144000,350000,5ml,59
2,Nước Hoa Nữ Diamond Femme Pink (Hồng),Eau De Parfum,275000,549000,45ml,50
3,Nước Hoa Nam Diamond Homme (Đen),Eau De Parfum,275000,549000,45ml,50
4,Nước Hoa Nữ Diamond Femme Ruby Red (Đỏ),Eau De Parfum,301000,549000,45ml,45
5,Nước Hoa Nữ Gennie Little Gold Dress,Little Gold Dress,146000,219000,50ml,33
6,Nước Hoa Vùng Kín Foellie Hương Trái Cây Ngọt Ngào,Inner Perfume #Eau De Fleur,179000,350000,5ml,49
7,Nước Hoa Nữ Gennie Little Black Dress,Little Black Dress,146000,219000,50ml,33
8,Xịt Thơm Toàn Thân Malissa Kiss Hương Crazy in Love,Perfume Body Mist,134000,169000,88ml,21
10,Nước Hoa Nữ De Memoria EDP #05 Montpellier,Eau De Parfum,354000,550000,30ml,36
11,Nước Hoa Nữ De Memoria #02 Val De Loire Hương Tươi Mát,Eau De Parfum,354000,550000,30ml,36
12,Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare,,54000,79000,35ml,32
13,Nước Hoa Nữ Gennie Little Red Dress,Little Red Dress,110000,219000,50ml,50
14,Nước Hoa Nam Gota Iconic Eau de Parfum,Iconic Perfume For Men Eau de Parfum,148000,296000,50ml,50
16,Nước Hoa Nữ De Memoria EDP #04 Dresden,Eau De Parfum,354000,550000,30ml,36
17,Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Trắng,Inner Perfume #Eau De Ciel,179000,350000,5ml,49
18,Nước Hoa Nam Diamond Homme Dark Blue (Xanh),Eau De Parfum,301000,549000,45ml,45
19,Nước Hoa Nữ Gennie Little Rose Dress Bản Giới Hạn,Little Rose Dress For Her,175000,349000,50ml,50
20,Nước Hoa Vùng Kín Foellie Hoa Đinh Hương Bản Giới Hạn,Inner Perfume #Eau De Tuileries,189000,350000,5ml,46
21,Nước Hoa Nữ Versace Bright Crystal Absolu EDP,Bright Crystal Absolu Eau de Parfum Natural Spray,1789000,2915000,90ml,39
22,Nước Hoa Nam Diamond Homme Brown (Nâu),Eau De Parfum,301000,499000,45ml,40
23,Nước Hoa Nữ Carolina Herrera Good Girl EDP,Good Girl Eau De Parfum Natural Spray,1809000,2010000,30ml,10
24,Xịt Thơm Toàn Thân Malissa Kiss Hương Sweet Poison,Perfume Mist,134000,169000,88ml,21
25,Xịt Thơm Toàn Thân Malissa Kiss Hương Adore You,Perfume Mist,134000,169000,88ml,21
26,Nước Hoa Nam Versace Pour Homme EDT,Pour Homme Eau De Toilette Spray,1443000,1782000,50ml,19
27,Nước Hoa Nữ Laura Anne Allure For Her (Hồng),Eau de Parfum,184000,299000,50ml,38
28,Nước Hoa Nữ Lancôme La Nuit Tresor EDP,La Nuit Tresor Eau De Parfum,2820000,3100000,75ml,9
29,Nước Hoa Nam Paco Rabanne 1 Million Parfum EDP,1 Million Parfum EDP,3024000,3360000,100ml,10
30,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Passion,Perfume Mist,134000,169000,88ml,21
31,Nước Hoa Nữ Versace Bright Crystal EDT,Bright Crystal Eau de Toilette Spray,1190000,2905000,50ml,59
32,Nước Hoa Vùng Kín Foellie Hương Hoa Nhài Bản Giới Hạn,Inner Perfume #Eau De Venus,164000,350000,5ml,53
33,Nước Hoa Nữ De Memoria EDP #03 Granada,Eau De Parfum,354000,550000,30ml,36
34,Nước Hoa Nữ De Memoria EDP #06 Grasse,Eau De Parfum,354000,550000,30ml,36
35,Nước Hoa Nữ Verites After The Rain,After The Rain Inspired By My Burberry,191000,239000,50ml,20
36,Nước Hoa Nam Versace Eros Flame EDP,Eros Flame Eau de Parfum Spray,2236000,2761000,100ml,19
37,Xịt Thơm Toàn Thân Malissa Kiss Hương Lost In Paradise,Perfume Body Mist,134000,169000,88ml,21
38,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Delight,Perfume Mist,134000,169000,88ml,21
39,Xịt Thơm Toàn Thân Malissa Kiss Hương Fresh Escape,Perfume Mist,84000,169000,88ml,50
40,Nước Hoa Nam Gota Urban Eau de Parfum,Urban Perfume For Men Eau de Parfum,208000,296000,50ml,30
41,Xịt Thơm Toàn Thân Malissa Kiss Sweet Vanilla Cotton,Perfume Body Mist,134000,169000,88ml,21
42,Nước Hoa Nữ De Memoria #01 Spello Hương Mê Hoặc,Eau De Parfum,353000,550000,30ml,36
43,Nước Hoa Vùng Kín Foellie Hương Gỗ Tươi Mát,Inner Perfume #Eau De Foret,179000,215000,5ml,17
44,Nước Hoa Nam Nữ Verites Siren,Siren Inspired By Good Girl Velvet Fatale,191000,239000,50ml,20
45,Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh,,109000,156000,105ml,30
46,Bộ 3 Chai Nước Hoa Nam Nerman 4000/chai,"Hương Thơm Mạnh Mẽ Lôi Cuốn, Lưu Hương Tới 8H",476000,499000,10ml,5
47,Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Love Bloom,Fragrance Mist Hair And Body #Love Bloom,98000,99000,50ml,1
48,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Charm,Perfume Mist,134000,169000,88ml,21
49,Nước Hoa Vùng Kín Foellie Hương Hoa Anh Đào,Inner Perfume #Eau De Cherry Blossom,179000,350000,5ml,49
50,Nước Hoa Nữ Verites Joie De Vivre,Joie De Vivre Inspired by Miss Dior,191000,239000,50ml,20
51,Nước Hoa Nam Laura Anne Mystic For Him (Đen),Eau de Parfum,184000,299000,50ml,38
52,Nước Hoa Vùng Kín Nữ Loli And The Wolf Midnight Forest,Hương Hoa Ngọt Ngào Quyến Rũ Lãng Mạn,248000,300000,8ml,17
53,Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh,,54000,79000,35ml,32
54,Nước Hoa Nữ Verites Secretly Sexy,Secretly Sexy Inspired By Victoria's Secret Very Sexy,191000,239000,50ml,20
55,Nước Hoa Nam Verites Savage Trail,Savage Trail Inspired by Dior Sauvage,191000,239000,50ml,20
56,Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream,Fragrance Mist Hair And Body #Magic Dream,98000,99000,50ml,1
57,Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare,,109000,156000,105ml,30
58,Nước Hoa Vùng Kín Foellie Hương Hoa Ngọc Lan Tây,Inner Perfume #Eau De Bebe,179000,350000,5ml,49
59,Xịt Thơm Toàn Thân Bodymiss Hương Blinded Love,,54000,79000,35ml,32
60,Xịt Thơm Toàn Thân Bodymiss Hương Hide & Seek,,54000,79000,35ml,32
61,Nước Hoa Nam Nữ De Memoria EDP #09 Lampang,Eau De Parfum,370000,550000,30ml,33
62,Nước Hoa Vùng Kín Foellie Hương Dâu Tây Bản XO Giới Hạn,Inner Perfume #Eau De Miel,179000,350000,5ml,49
63,Xịt Thơm Toàn Thân Bodymiss Hương Hide & Seek,,109000,156000,105ml,30
64,Nước Hoa Nam Laura Anne Allure For Him (Đỏ),Eau de Parfum,149000,299000,50ml,50
65,Nước Hoa Vùng Kín Foellie Hương Biển Thơm Mát,Inner Perfume #Eau De Vogue,179000,215000,5ml,17
66,Xịt Thơm Toàn Thân Malissa Kiss Hương Happy Sundae,Perfume Mist,84000,169000,88ml,50
67,"Nước Hoa Nữ Verites Her Summer Nữ Tính, Dịu Dàng",,231000,289000,50ml,20
68,Xịt Thơm Toàn Thân Bodymiss Hương Care Free,,54000,79000,35ml,32
69,Nước Hoa Nam Nữ De Memoria EDP #10 Jiufen,Eau De Parfum,354000,550000,30ml,36
70,Xịt Thơm Toàn Thân Bodymiss Hương Money Honey,,109000,156000,105ml,30
71,Xịt Thơm Toàn Thân Malissa Kiss Hương Call Me Maybe,Perfume Mist,134000,169000,88ml,21
72,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Tender,Perfume Mist,134000,169000,88ml,21
73,Xịt Thơm Toàn Thân Malissa Kiss Hương Cozy Beach,Perfume Mist,84000,169000,88ml,50
75,Nước Hoa Nam Nữ Verites Santal Lab,Santal Lab Inspired By Le Labo Santal 33,239000,239000,50ml,0
76,Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Fierce,Perfume Mist,134000,169000,88ml,21
77,Xịt Thơm Toàn Thân Bodymiss Hương Money Honey,,54000,79000,35ml,32
78,Combo 2 Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Love Bloom + Floral Blush,Fragrance Mist Hair And Body #Love Bloom & #Floral Blush,160000,176000,50ml,9
79,[Mini] Nước Hoa Nam Calvin Klein Defy For Men EDT,Defy For Men Eau de Toilette,380000,380000,10ml,0
80,Nước Hoa Nữ Gennie Little Rose Dress Bản Giới Hạn,Little Rose Dress For Her,90000,179000,10ml,50
81,Nước Hoa Nữ De Memoria EDP #07 Hoian,Eau De Parfum,354000,550000,30ml,36
82,Nước Hoa Vùng Kín Foellie Cherry Đen Bản Giới Hạn,Inner Perfume #Eau De Noir,160000,350000,5ml,54
83,"Nước Hoa Nữ Verites Beach Bomb Nhẹ Nhàng, Tươi Mát",,231000,289000,50ml,20
84,"Nước Hoa Nam Verites De Club Cuốn Hút, Lịch Lãm",,231000,289000,50ml,20
85,Combo 2 Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Magic Dream + Love Bloom,Fragrance Mist Hair And Body #Magic Dream & #Love Bloom,184000,198000,50ml,7
86,Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Floral Blush,Fragrance Mist Hair And Body #Floral Blush,98000,99000,50ml,1
87,Nước Hoa Unisex Verites Chasing Cloud Tươi Mới,,231000,289000,50ml,20
